INFO  [2023-12-31 02:47:00,038] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:47:00,472] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:47:00,473] ScheduleService: Successfully get spreadsheet `schedule` data from spreadsheet.
INFO  [2023-12-31 02:47:00,473] ScheduleService: Stated parsing spreadsheet schedule data with month: 'DECEMBER'.
INFO  [2023-12-31 02:47:00,474] ScheduleService: Successfully sent 217 schedule items in 1643ms.
INFO  [2023-12-31 02:47:00,478] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:47:00,916] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:47:00,917] ScheduleService: Successfully get spreadsheet `workers data from spreadsheet.
INFO  [2023-12-31 02:47:00,917] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:47:01,740] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:47:01,740] GoogleSheetParser: Started getting spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data...
INFO  [2023-12-31 02:47:02,570] GoogleSheetParser: Successfully get all spreadsheet[id=17bOXz5NI-1QTsRJNjKb-7F67jbjswHqC0zEtBkjjrfY] data.
INFO  [2023-12-31 02:47:02,570] ScheduleService: Successfully get spreadsheet `schedule` data from spreadsheet.
INFO  [2023-12-31 02:47:02,570] ScheduleService: Stated parsing spreadsheet schedule data with month: 'DECEMBER'.
INFO  [2023-12-31 02:47:02,571] ScheduleService: Successfully sent 217 schedule items in 2093ms.
